filename,xmin,xmax,ymin,ymax,class_id
1530141994.png,218,506,112,328,UAV
1530142057.png,268,428,68,308,UAV
1530142022.png,167,467,83,263,UAV
1530142565.png,175,445,122,282,UAV
1530142335.png,218,458,83,275,UAV
1530143985.png,108,468,132,260,UAV
1530142092.png,143,399,51,201,UAV
1530142769.png,186,426,50,290,UAV
1530143993.png,124,508,73,297,UAV
1530142555.png,183,423,105,225,UAV
1530142026.png,181,481,120,300,UAV
1530143882.png,187,367,69,203,UAV
1530142554.png,181,421,102,222,UAV
1530142337.png,223,463,88,280,UAV
1530142761.png,249,489,53,293,UAV
1530142367.png,137,353,90,306,UAV
1530141969.png,254,414,73,265,UAV
1530143418.png,318,518,34,226,UAV
1530143947.png,181,501,73,253,UAV
1530142095.png,133,389,54,204,UAV
1530141992.png,226,514,91,307,UAV
1530142049.png,285,445,79,319,UAV
1530143416.png,302,502,78,270,UAV
1530143360.png,256,496,107,307,UAV
1530143444.png,344,488,100,224,UAV
1530142558.png,187,427,127,247,UAV
1530143729.png,159,399,108,252,UAV
1530141931.png,172,532,123,303,UAV
1530142244.png,245,437,135,263,UAV
1530141993.png,215,503,93,309,UAV
1530142352.png,251,351,52,276,UAV
1530142321.png,242,562,150,330,UAV
1530142573.png,235,505,151,311,UAV
1530143949.png,176,496,68,248,UAV
1530142340.png,220,460,72,264,UAV
1530142764.png,230,470,48,288,UAV
1530143443.png,393,537,117,241,UAV
1530142370.png,160,376,95,311,UAV
1530142371.png,170,386,114,330,UAV
1530143991.png,121,505,109,333,UAV
1530143975.png,130,490,109,237,UAV
1530142368.png,159,375,76,292,UAV
1530141926.png,135,495,112,292,UAV
1530142222.png,166,566,79,271,UAV
1530142354.png,256,356,58,282,UAV
1530142018.png,179,479,83,263,UAV
1530142033.png,139,439,100,280,UAV
1530142274.png,205,421,133,313,UAV
1530143725.png,194,434,100,244,UAV
1530142593.png,143,431,61,277,UAV
1530143390.png,330,554,71,251,UAV
1530142407.png,135,405,141,269,UAV
1530143749.png,187,443,74,254,UAV
1530142608.png,106,480,113,273,UAV
1530143536.png,289,531,97,289,UAV
1530143681.png,134,434,77,333,UAV
1530143529.png,245,487,86,278,UAV
1530142771.png,160,400,85,325,UAV
1530143137.png,147,467,103,319,UAV
1530143878.png,206,386,102,236,UAV
1530142134.png,193,417,18,242,UAV
1530142133.png,188,412,26,250,UAV
1530142191.png,307,547,76,268,UAV
1530141959.png,336,496,69,261,UAV
1530142185.png,278,518,117,309,UAV
1530143908.png,184,472,104,296,UAV
1530143915.png,214,502,75,267,UAV
1530142025.png,191,491,101,281,UAV
1530143406.png,301,541,71,287,UAV
1530143506.png,179,371,201,325,UAV
1530143869.png,208,388,83,217,UAV
1530142117.png,178,434,81,205,UAV
1530142387.png,85,445,73,253,UAV
1530142599.png,198,486,98,314,UAV
1530141932.png,155,515,141,321,UAV
1530141995.png,186,474,95,311,UAV
1530143957.png,193,513,120,300,UAV
1530142760.png,256,496,53,293,UAV
1530143395.png,286,510,112,292,UAV
1530142600.png,208,496,135,351,UAV
1530143678.png,150,450,40,296,UAV
1530143944.png,164,484,71,251,UAV
1530143875.png,196,376,72,206,UAV
1530143368.png,357,597,86,286,UAV
1530141934.png,157,517,136,316,UAV
1530142746.png,212,454,116,316,UAV
1530142051.png,280,440,87,327,UAV
1530143720.png,180,420,71,215,UAV
1530142391.png,80,440,72,252,UAV
1530143428.png,337,537,63,255,UAV
1530141935.png,154,514,142,322,UAV
1530143449.png,351,495,83,207,UAV
1530143958.png,192,512,131,311,UAV
1530142045.png,289,449,56,296,UAV
1530142393.png,79,439,79,259,UAV
1530143966.png,207,527,37,217,UAV
1530143409.png,338,578,92,308,UAV
1530143505.png,190,382,192,316,UAV
1530143955.png,236,556,50,230,UAV
1530142168.png,338,554,107,307,UAV
1530143508.png,210,402,155,279,UAV
1530143951.png,183,503,73,253,UAV
1530143384.png,340,564,102,282,UAV
1530143992.png,134,518,69,293,UAV
1530142112.png,165,421,84,208,UAV
1530142110.png,179,435,75,199,UAV
1530141989.png,238,526,74,290,UAV
1530143745.png,163,419,71,251,UAV
1530142275.png,212,428,134,314,UAV
1530142356.png,282,382,61,285,UAV
1530143723.png,202,442,82,226,UAV
1530143728.png,170,410,86,230,UAV
1530143959.png,178,498,75,255,UAV
1530141919.png,130,490,96,276,UAV
1530143921.png,193,481,92,284,UAV
1530142372.png,142,358,90,306,UAV
1530142187.png,291,531,98,290,UAV
1530142167.png,377,593,109,309,UAV
1530143909.png,184,472,70,262,UAV
1530141914.png,154,514,96,276,UAV
1530141909.png,108,468,66,246,UAV
1530143139.png,117,437,101,317,UAV
1530143976.png,130,490,115,243,UAV
1530142268.png,262,478,113,293,UAV
1530141998.png,134,422,53,269,UAV
1530141988.png,241,529,93,309,UAV
1530143950.png,175,495,76,256,UAV
1530143989.png,137,521,92,316,UAV
1530143876.png,193,373,60,194,UAV
1530143675.png,197,497,39,295,UAV
1530143367.png,358,598,108,308,UAV
1530142141.png,199,423,49,273,UAV
1530142339.png,221,461,84,276,UAV
1530142114.png,194,450,72,196,UAV
1530143429.png,361,561,31,223,UAV
1530143386.png,352,576,92,272,UAV
1530142434.png,174,494,85,285,UAV
1530141971.png,238,398,64,256,UAV
1530142165.png,322,538,92,292,UAV
1530142750.png,205,447,113,313,UAV
1530142183.png,240,480,120,312,UAV
1530141987.png,220,508,63,279,UAV
1530142137.png,174,398,35,259,UAV
1530143527.png,224,466,79,271,UAV
1530142435.png,174,494,97,297,UAV
1530142188.png,290,530,83,275,UAV
1530142406.png,122,392,151,279,UAV
1530142609.png,106,480,110,270,UAV
1530143726.png,196,436,92,236,UAV
1530141912.png,155,515,90,270,UAV
1530143994.png,116,500,83,307,UAV
1530142136.png,170,394,9,233,UAV
1530143389.png,354,578,70,250,UAV
1530143953.png,208,528,114,294,UAV
1530143427.png,353,553,71,263,UAV
1530142043.png,259,419,52,292,UAV
1530143679.png,149,449,70,326,UAV
1530143730.png,149,389,119,263,UAV
1530143358.png,268,508,101,301,UAV
1530142023.png,172,472,86,266,UAV
1530143870.png,209,389,85,219,UAV
1530141938.png,156,516,133,313,UAV
1530142592.png,136,424,58,274,UAV
1530141918.png,145,505,115,295,UAV
1530143913.png,164,452,81,273,UAV
1530143532.png,281,523,81,273,UAV
1530142058.png,277,437,94,334,UAV
1530141939.png,182,542,128,308,UAV
1530143946.png,175,495,56,236,UAV
1530142597.png,196,484,103,319,UAV
1530142245.png,279,471,138,266,UAV
1530141917.png,144,504,109,289,UAV
1530141929.png,142,502,130,310,UAV
1530141915.png,123,483,85,265,UAV
1530142566.png,173,443,122,282,UAV
1530143868.png,218,398,94,228,UAV
1530143143.png,191,511,123,339,UAV
1530143919.png,187,475,65,257,UAV
1530142221.png,165,565,80,272,UAV
1530142269.png,262,478,111,291,UAV
1530143417.png,304,504,74,266,UAV
1530142765.png,231,471,61,301,UAV
1530142116.png,173,429,76,200,UAV
1530143983.png,111,471,73,201,UAV
1530142276.png,222,438,128,308,UAV
1530142355.png,195,295,71,295,UAV
1530142766.png,254,494,17,257,UAV
1530142767.png,243,483,63,303,UAV
1530142373.png,122,338,52,268,UAV
1530142091.png,170,426,54,204,UAV
1530143979.png,145,505,104,232,UAV
1530143677.png,176,476,53,309,UAV
1530142323.png,239,559,141,321,UAV
1530142596.png,202,490,109,325,UAV
1530143445.png,368,512,112,236,UAV
1530143945.png,172,492,78,258,UAV
1530142189.png,297,537,85,277,UAV
1530141908.png,113,473,74,254,UAV
1530142336.png,212,452,100,292,UAV
1530141997.png,167,455,82,298,UAV
1530142763.png,239,479,55,295,UAV
1530143871.png,203,383,91,225,UAV
1530143960.png,187,507,80,260,UAV
1530143905.png,158,446,67,259,UAV
1530142748.png,206,448,110,310,UAV
1530142278.png,234,450,130,310,UAV
1530142142.png,205,429,49,273,UAV
1530142160.png,271,487,113,313,UAV
1530143741.png,210,466,126,306,UAV
1530142601.png,164,452,105,321,UAV
1530143366.png,346,586,89,289,UAV
1530143424.png,354,554,95,287,UAV
1530143361.png,293,533,59,259,UAV
1530141925.png,112,472,108,288,UAV
1530142248.png,273,465,191,319,UAV
1530142277.png,237,453,138,318,UAV
1530143923.png,171,459,109,301,UAV
1530142108.png,181,437,83,207,UAV
1530142273.png,213,429,156,336,UAV
1530143744.png,171,427,107,287,UAV
1530142570.png,167,437,139,299,UAV
1530142047.png,295,455,56,296,UAV
1530143509.png,198,390,118,242,UAV
1530143537.png,274,516,106,298,UAV
1530142109.png,184,440,80,204,UAV
1530143501.png,259,451,179,303,UAV
1530143526.png,210,452,78,270,UAV
1530142111.png,169,425,69,193,UAV
1530143440.png,357,501,112,236,UAV
1530142751.png,203,445,89,289,UAV
1530141936.png,171,531,127,307,UAV
1530143676.png,194,494,43,299,UAV
1530142247.png,292,484,147,275,UAV
1530142161.png,282,498,94,294,UAV
1530142588.png,129,417,72,288,UAV
1530142251.png,309,501,148,276,UAV
1530143941.png,153,473,94,274,UAV
1530141913.png,152,512,96,276,UAV
1530141967.png,275,435,77,269,UAV
1530143750.png,204,460,64,244,UAV
1530142595.png,153,441,76,292,UAV
1530141933.png,156,516,118,298,UAV
